Position,Job URL,Job ID,Job Title,Company URL,Company ID,Company Logo,Company Name,Location,Work Type,Posted Date,Response Time
13,https://www.linkedin.com/jobs/view/4062019180/,4062019180,Consultant Senior BI,https://www.linkedin.com/company/orange-business/,1112,https://media.licdn.com/dms/image/v2/C4E0BAQHkuI2zyi1F8Q/company-logo_400_400/company-logo_400_400/0/1676538388568/orange_business_services_logo?e=1740614400&v=beta&t=_OEd3XdZBTipETnYwfV_NXet6yDZQYl1Lgeow6F1c3s,Orange Business,"Lyon, Auvergne-Rhône-Alpes, France",Hybrid,30/10/2024,10 school alumni work here
14,https://www.linkedin.com/jobs/view/4078652740/,4078652740,VALRHONA - Data Analyst H/F - CDI,https://www.linkedin.com/company/savencia-groupe/,82053,https://media.licdn.com/dms/image/v2/C4D0BAQH58L46GfeCJw/company-logo_400_400/company-logo_400_400/0/1631342355610?e=1740614400&v=beta&t=zRlkmCBWEma52QPs2oMYKKgRYtpWQGwd-c0bqPIhjow,SAVENCIA,"Tain-l’Hermitage, Auvergne-Rhône-Alpes, France",Hybrid,20/11/2024,
15,https://www.linkedin.com/jobs/view/4051987105/,4051987105,Data Analyst H/F,https://www.linkedin.com/company/lincoln-/,3178052,https://media.licdn.com/dms/image/v2/D4D0BAQFeB3trnvEzdw/company-logo_400_400/company-logo_400_400/0/1730300454805/lincoln__logo?e=1740614400&v=beta&t=tdLul3CXeJjkIAG-SD9pkuSxskEfx1Xdz0w8YMKc8sk,Lincoln France,"Île-de-France, France",Hybrid,11/11/2024,Response time is typically 4 days
16,https://www.linkedin.com/jobs/view/4077220575/,4077220575,Data Analyst Confirmé H/F,https://www.linkedin.com/company/assystem/,162559,https://media.licdn.com/dms/image/v2/D4E0BAQH79W8Z5_QE_w/company-logo_400_400/company-logo_400_400/0/1664277717040/assystem_logo?e=1740614400&v=beta&t=IVCvs7rjeHRv_Y7Vq84YLHBIubCxP7BX4b0MWCqaTaY,Assystem,"Lyon, Auvergne-Rhône-Alpes, France",Hybrid,18/11/2024,
17,https://www.linkedin.com/jobs/view/3943905521/,3943905521,Data Analyst - Strasbourg (H/F),https://www.linkedin.com/company/mca-france/,988828,https://media.licdn.com/dms/image/v2/C4E0BAQGRqYiVJJdA7Q/company-logo_400_400/company-logo_400_400/0/1672740397329/mca_ingenierie_logo?e=1740614400&v=beta&t=zBTkdjzJdKqO8TIgaUB38Uqa8OA1Vy3WduHBDkEQqPs,MCA,"Grand Est, France",Hybrid,09/11/2024,1 connection works here
18,https://www.linkedin.com/jobs/view/4025359277/,4025359277,Data Analyst BI (h/f),https://www.linkedin.com/company/liebherr/,11057,https://media.licdn.com/dms/image/v2/C560BAQG3lyTi3B8qQQ/company-logo_400_400/company-logo_400_400/0/1630647286440/liebherr_logo?e=1740614400&v=beta&t=gnvmFKb49d2wIYAQn_-uAy4w3wl4GJw3YAiFl0XmgsA,Liebherr Group,"Colmar, Grand Est, France",Hybrid,19/11/2024,1 school alum works here
19,https://www.linkedin.com/jobs/view/4075528377/,4075528377,Data Analyst Qlik Sense,https://www.linkedin.com/company/adbi/,10395192,https://media.licdn.com/dms/image/v2/D4E0BAQEmzp6gcqEIMQ/company-logo_400_400/company-logo_400_400/0/1728381973829/adbi_logo?e=1740614400&v=beta&t=6Z1WSQq8rxEEr9qWUnI-n7sW5YhDt9MUk5SasyDRWiI,ADBI,"Île-de-France, France",Hybrid,13/11/2024,Response time is typically 4 days
20,https://www.linkedin.com/jobs/view/4056708429/,4056708429,Data Analyst engineer,https://www.linkedin.com/company/devoteamdatadriven/,125060,https://media.licdn.com/dms/image/v2/C4E0BAQEixXhx64IB4w/company-logo_400_400/company-logo_400_400/0/1663579177793/ysance_logo?e=1740614400&v=beta&t=VagNDxgOsnN-xDuh8SbnPj5reHvjYkgK5TjxQYxdRKY,Devoteam Data Driven,"Levallois-Perret, Île-de-France, France",Hybrid,13/11/2024,
21,https://www.linkedin.com/jobs/view/4073436616/,4073436616,Consultant Data Intelligence - H/F - CDI,https://www.linkedin.com/company/talan/,28542,https://media.licdn.com/dms/image/v2/D4E0BAQHLUnOa9M0qTA/company-logo_400_400/company-logo_400_400/0/1731454594342/talan_logo?e=1740614400&v=beta&t=lDA3ggKn2jLx2agSZB8_Bx3TgRAvhvkK8-0Qr9h_l0s,Talan,"Paris, Île-de-France, France",Remote,13/11/2024,1 connection works here
22,https://www.linkedin.com/jobs/view/3778889216/,3778889216,Data business analyst (F/H),https://www.linkedin.com/company/lr-technologies---groupe/,10983496,https://media.licdn.com/dms/image/v2/C4E0BAQE6YjpIPPI9og/company-logo_400_400/company-logo_400_400/0/1631311738557?e=1740614400&v=beta&t=l2L3GGspuPgvmrho7_sRJhILs-7wuIE6I68_S_BAjkg,LR TECHNOLOGIES - GROUPE,"Lille, Hauts-de-France, France",Hybrid,15/11/2024,1 connection works here
23,https://www.linkedin.com/jobs/view/3971564027/,3971564027,Data Analyst GCP - H/F,https://www.linkedin.com/company/lincoln-/,3178052,https://media.licdn.com/dms/image/v2/D4D0BAQFeB3trnvEzdw/company-logo_400_400/company-logo_400_400/0/1730300454805/lincoln__logo?e=1740614400&v=beta&t=tdLul3CXeJjkIAG-SD9pkuSxskEfx1Xdz0w8YMKc8sk,Lincoln France,"Île-de-France, France",Hybrid,15/11/2024,Response time is typically 4 days
24,https://www.linkedin.com/jobs/view/4023644372/,4023644372,DATA ANALYST EXPERT - CDI - NANTERRE H/F,https://www.linkedin.com/company/gan/,12063,https://media.licdn.com/dms/image/v2/C560BAQG0zBWjFQu9ug/company-logo_400_400/company-logo_400_400/0/1631351411871?e=1740614400&v=beta&t=hL2q87FxcIUvcvIn_n5aC8FuhapbZ1MB9-b7yKRK9E0,Gan Assurances,"Nanterre, Île-de-France, France",Hybrid,15/11/2024,
25,https://www.linkedin.com/jobs/view/4061619909/,4061619909,Web Analyst CDD F/H,https://www.linkedin.com/company/bpce/,439981,https://media.licdn.com/dms/image/v2/D4E0BAQGcWr0fsOf1cQ/company-logo_400_400/company-logo_400_400/0/1718649945793/bpce_logo?e=1740614400&v=beta&t=dB6XRUUIEIkVKOeJGDghnfmTGnUByJNIKgCYkhuUzu0,Groupe BPCE,"Paris, Île-de-France, France",Hybrid,20/11/2024,3 connections work here
